Model,r2,rmse,mae,smape,accuracy,precision,recall,f1
Kriging (Standard),0.8777899845284148,0.03955437964167199,0.024309078634710466,3.5314851607735855,0.96525,0.8214285714285714,0.9218436873747495,0.8687440982058546
Neural Network (Multi-Task),0.9327078511107219,0.029351032047366766,0.014947206407285753,2.283946479820371,0.97925,0.9297520661157025,0.9018036072144289,0.9155645981688708
PINN (Physics-Guided),0.891102472305756,0.03733792577770002,0.021808770961024956,3.2404668489939636,0.97275,0.8558394160583942,0.9398797595190381,0.8958930276981852
RBF (SMT),0.8500449816636031,0.04381488540487794,0.02792861978113067,4.018961098785791,0.959,0.7834179357021996,0.9278557114228457,0.8495412844036697
SVR (Sklearn),0.8689113687892288,0.04096601242455508,0.025898438035854163,3.7317391259141317,0.96675,0.8155172413793104,0.9478957915831663,0.8767377201112141
